issue_id,district,sector,cell,date_reported,date_resolved,assigned_department,assigned_level,description,status,escalated,is_overdue,feedback_rating,feedback_comment
ISS-1000,Nyarugenge,Nyamirambo,Mumena,5/2/2025,27/02/2025,Education,Cell,Public transport shortage during rush hours by the primary school since the rainy season began.,Resolved,No,Yes,1,Good communication throughout.
ISS-1001,Kicukiro,Kigarama,Kigarama I,10/5/2025,28/05/2025,Education,Cell,Blocked drainage causing floods at the football field for 1 week.,Resolved,No,Yes,2,"Poor handling, not happy."
ISS-1002,Nyarugenge,Kigali,Kiyovu,27/07/2025,21/08/2025,Social services,Sector,Electricity blackout in the neighborhood behind the local office since last week.,Resolved,No,Yes,2,"Poor handling, not happy."
ISS-1003,Kicukiro,Gikondo,Rwimbogo,27/01/2025,,Education,Sector,Flooding in homes after rain near the market for over a month.,Open,No,Yes,,
ISS-1004,Kicukiro,Gikondo,Gikondo,28/04/2025,28/05/2025,Health and Services ,District,Garbage collection delay near the river since yesterday.,Resolved,No,Yes,4,Service was quick and effective.
ISS-1005,Nyarugenge,Kigali,Muhima,19/02/2025,21/02/2025,Water & sanitation,District,Noise pollution from nearby bars near the river for several weeks.,Resolved,No,No,4,Very satisfied with the outcome.
ISS-1006,Gasabo,Remera,Nyabisindu,12/6/2025,18/06/2025,Water & sanitation,Sector,Flooding in homes after rain by the primary school since yesterday.,Resolved,No,No,5,Very satisfied with the outcome.
ISS-1007,Gasabo,Kimironko,Kibagabaga,13/02/2025,21/02/2025,Social services,District,Water shortage in the area in the village center for over a month.,Resolved,No,No,3,The issue is still not fully fixed.
ISS-1008,Kicukiro,Gikondo,Gikondo,25/03/2025,19/04/2025,Education,District,Unfinished construction causing hazards near the health post since last week.,Resolved,No,Yes,1,Took longer than expected.
ISS-1009,Gasabo,Kimironko,Nyagatovu,26/05/2025,6/6/2025,Health and Services ,Cell,Lack of waste bins in public areas behind the local office since last week.,Resolved,No,No,3,"Poor handling, not happy."
